State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
NY,73,788,376-1252,yes,no,0,1.1471010779109547,0,4.224687985017322,4.426461161271545,1,3.2554740085470604,3.6709463906709887,250,4.200926433818155,5.383224887879488,3,4.1469699566682,8,True.
NE,34,786,748-8610,no,no,0,6.778703750053083,6,4.981992430355573,5.807804393340024,2,6.51345547280641,2.6876139535108496,300,7.424242869162457,5.677331697455202,5,3.133791896205018,6,False.
NV,115,788,968-8141,yes,yes,200,13.913852217434371,4,8.261744640062082,8.14095294558872,5,8.659118053501171,7.209096451938203,100,4.916776908499179,6.177277276386503,9,7.904598377308169,1,True.
GA,84,716,991-7023,no,yes,300,5.366240649601705,2,6.300783968159157,4.8969627249023056,1,5.489811297295186,2.3536605139885216,250,6.425837192635633,6.04930086992929,3,3.245362763657588,9,True.
CO,131,677,478-2447,yes,yes,400,6.385084423193444,4,6.569485760490568,5.117594505442854,6,4.88178396891948,5.4412842814553946,200,4.3497960788180245,3.187856390999607,6,5.633196236466874,3,True.
ID,97,736,126-1766,yes,no,0,9.459024513782314,2,7.506237184776482,6.035873307307803,2,7.777622175511588,3.9567731794462286,150,4.141740873739401,5.12069848213551,7,8.153480275638291,2,True.
SC,85,836,897-6489,yes,yes,400,7.725267652427464,2,5.1724843770239,3.829263297214896,0,5.947488702295975,2.9414139842747016,150,7.388681569634881,4.27539002560405,7,1.534858710429785,5,True.
WY,5,878,234-4987,yes,no,0,11.029913752753398,2,9.039251770161025,10.037615717106837,4,7.694198652541456,4.847783254758681,300,4.959471443071493,4.3648100082780985,5,8.895592113888137,3,True.
TX,173,848,605-1097,no,no,0,6.3670923718236425,5,4.488111547866847,6.014978253732021,0,6.60269662590278,3.3053814402874613,150,7.480747287254905,5.018236389857742,2,3.759127612324108,8,True.
MT,66,778,187-1342,yes,yes,500,1.963060489318237,2,1.4779928876350974,4.2886422094264525,2,2.046741853301019,4.286990689960571,200,3.0723058061808164,5.835312254441423,1,7.914215209228707,4,False.
NM,151,787,350-1439,no,yes,700,4.249924610507732,2,1.4907688271176185,3.068626766127762,0,1.1853630201833272,2.170142941301285,300,0.8335415398030079,5.922975521313182,7,3.99151338052768,6,False.
CO,142,677,510-5988,no,yes,500,6.5006037502892,5,5.5992829353076985,6.747135834719856,2,5.5264635770174255,3.1343534452093484,300,6.630427521564002,6.328309774952736,6,2.055627007399154,8,False.
KY,47,758,783-3767,no,no,0,2.008794355736532,4,4.164009178610146,3.369731006477883,8,1.3713715097554986,3.137304505819248,250,1.7000975442400763,5.828275120798862,5,5.509666831467433,2,False.
LA,195,766,575-1043,no,no,0,3.365573628524605,3,7.611704401642898,6.480376760867848,7,2.737641227545807,4.0167552570989065,300,2.6879073831710745,5.421286065451644,5,8.10469065327727,3,False.
NV,118,788,620-8981,no,no,0,3.112703023090108,6,4.004592107061677,3.130753166900055,4,3.255860162674924,3.890116497649177,100,6.306602008267669,5.413859537344047,5,0.4474564660989184,7,True.
RI,54,827,772-8921,yes,no,0,5.157019959601642,3,7.612684255389695,5.537157147641035,5,3.452210859346435,3.1716196752020007,200,5.214377224668604,4.766763811650945,5,2.787212230950316,7,True.
AR,136,658,631-1676,no,no,0,3.661495668360838,4,6.778894990779355,6.073881706659697,6,2.899480217378193,3.325426571960965,300,6.242019551749596,6.2766760135830975,3,2.3491469280044868,8,True.
CA,153,676,192-1920,yes,yes,500,2.745802338308028,3,1.611465116337644,2.5606692829316566,3,1.652186402550042,3.2732403516690365,250,2.02681796721732,4.516001863409675,6,4.1191306252302535,4,False.
VA,51,866,348-6865,yes,yes,200,12.29033226656485,5,8.55515013636657,6.307859063202307,6,8.14136243808097,5.745139713363988,150,6.55967090119888,4.575728214284382,6,5.579056423597812,2,True.
NC,36,786,940-2892,no,yes,600,3.630396413978605,4,3.3783460260089946,4.172281443206944,2,5.842874731625889,5.4971702305925385,300,3.471900783607463,4.569952096465747,5,5.436318258499067,6,False.
SC,10,836,851-3101,no,yes,700,1.8687429977483372,6,1.8629882640246764,4.29965352263119,2,1.710547451181908,4.885415892103643,150,6.0219594825667215,4.999220662150562,7,0.2309441033547434,8,True.
SC,42,836,494-3006,yes,yes,500,1.9578763417538416,5,3.4192476757539856,4.996416497253806,2,4.0124176632345705,3.350365517975065,350,4.396564638843863,4.830666880740034,7,1.7438473707691076,7,False.
UT,44,858,220-7003,no,no,0,5.1169748928254455,1,3.3167077339787863,1.473690356590685,2,6.443452473225747,3.4856458088417472,200,5.121864756092846,6.0478055602582295,9,0.9103849744954936,9,False.
VT,91,868,534-7961,no,no,0,8.679635748845211,2,5.340419470602685,5.272259466821739,2,7.5506086008160835,3.600052939636204,300,6.164298743332138,4.8350247780067965,8,3.568390233054642,8,False.
NC,117,786,440-7663,yes,no,0,13.093950606561249,4,8.044257039754791,8.109271168248947,0,9.543389709512637,2.7006286220466214,100,6.818748479190808,5.270520028266276,7,6.356999443683872,5,True.
ND,175,786,239-2953,yes,no,0,10.28676378099166,0,5.57850984225391,6.306647985235341,5,9.736263742412344,3.26085966768213,100,5.691421333107599,3.588038149598312,4,8.71572411141848,6,True.
NH,187,787,351-7531,no,yes,900,4.3958010214544805,1,3.5582700552728257,3.911208849617412,0,5.600051151053245,5.408406370554896,350,4.386335744169443,5.84905604788302,7,3.6273836560643513,8,False.
LA,97,766,266-7837,yes,no,0,9.98040201217438,4,4.92039513386728,7.0764374498944616,0,8.11403390889118,4.871745328507033,150,5.54866922280225,6.2162556374183735,7,8.152078516844913,2,True.
CT,25,678,390-7926,no,no,0,5.570710199660881,3,5.336222890621482,4.44985026776725,4,4.379094129430185,4.768527076421822,150,6.446785215775346,5.319843142180213,4,4.049611436722487,5,False.
MI,182,777,681-9396,yes,no,0,8.535677919284808,2,9.23927279596867,7.099042359607875,5,4.14866939215506,2.862589103673681,250,5.755982222747871,6.657423081674848,9,3.082492969823628,4,True.
MN,79,777,591-4219,yes,no,0,7.536587520668301,1,3.9745394100793376,4.072852885241736,2,7.88029864942707,6.975746321111631,300,4.353465869856503,3.953597296897757,7,5.287989397528845,8,False.
WA,3,876,551-6049,yes,no,0,4.678641549206263,4,4.934037696299856,4.194229993650441,3,5.244023986851339,5.640751105946037,400,3.155233775656756,6.82773908807239,9,3.0293638550092297,6,False.
IN,162,737,822-7473,yes,yes,500,1.637895652644632,4,1.253564332592462,2.8579135750322173,3,4.654391689300201,1.8583344775203077,150,4.655465974139033,3.9097703059713367,3,4.204922450007695,8,False.
PA,3,806,650-2828,yes,no,0,2.9633228667054743,7,0.0543124614992205,1.953425131407294,3,3.4822767032129565,0.7477214439020248,300,5.508278675828586,4.825452622177146,3,0.1404683233334145,7,False.
MS,172,778,543-8454,no,no,0,14.358887022666384,0,7.425043322402284,6.886026690952875,2,10.516698531420246,3.7657640092889135,50,6.765377690155728,3.0247829354084383,7,6.5407687789975615,4,True.
NH,28,787,145-6167,no,no,0,7.479055093513756,6,7.711209498099139,7.697643088214168,6,4.638801984301673,3.6455902933300415,300,6.732210153983342,5.584468636528773,6,2.1876658943919933,7,False.
LA,159,766,239-3477,yes,yes,800,8.97284566295626,5,6.594088872132156,7.03195305657985,2,7.078260105113502,4.21191559635467,350,6.011022928628591,4.8700208201860224,7,4.447858615347626,6,False.
OH,110,797,705-3827,yes,no,0,5.342323924603974,3,2.8634049274319358,5.322082807517677,0,5.183556610648441,5.355396696724165,150,5.79497381950116,4.610286676488154,5,4.216452409426619,6,True.
IL,147,737,705-3252,yes,no,0,11.871632082892416,6,6.522565862741946,5.045159586128815,3,9.288043172328008,5.771168360860684,0,6.139118219241394,5.56615630633739,6,7.428866143781159,2,True.
AZ,108,659,368-2967,yes,no,0,11.665087263106944,3,6.909856608219233,7.199647910811748,0,8.697698247728098,5.665427113722365,300,6.032671380827265,4.387030345035653,8,4.201460361197513,8,False.
NV,34,788,660-1152,yes,no,0,6.216649511584217,3,7.666037136482394,4.979899951703805,5,4.018646732315297,3.0997838748189963,200,6.682731433700544,5.065590755469783,5,0.9785074237461392,8,True.
NC,121,786,793-7467,yes,no,0,2.782670340344114,4,3.9808750738643273,2.2886358115524006,5,4.709864855022478,4.7883544399132285,150,5.16393669245983,4.203079793785336,2,4.441622382750294,4,False.
WA,33,876,868-4826,no,yes,100,15.992383819055023,5,8.516873576273895,7.544549832656961,2,11.158817438603055,5.223839323995173,50,7.051137471788336,4.776581348519442,6,8.082734307668295,2,True.
VT,3,868,972-9588,yes,no,0,1.433833925452728,4,6.089072327439775,5.742102299275522,8,2.777644948735512,5.158852834590401,400,1.4524852067291412,4.085584092224491,6,7.201232066485011,3,False.
DE,127,686,627-6202,yes,no,0,4.211341689636759,4,3.511664850494176,3.5086370529360056,0,5.976761945767212,3.484653301485828,400,4.023435514283976,5.2119613745593885,11,0.0603237221477916,9,False.
KY,3,758,619-9026,no,yes,400,9.27020845924346,5,8.300184731893562,4.667352817840176,6,7.821076122684498,4.911914119739071,100,4.591688873459718,5.946966598793533,4,8.668455002002178,2,True.
OH,182,797,307-9779,no,yes,200,6.855963832609291,3,6.590994684566201,5.140037123924514,2,4.529768437083538,2.5781438010566,150,7.1761624209400825,6.781917556485835,6,0.6920674264667754,8,True.
MA,189,776,659-4739,yes,no,0,3.537305462130625,2,4.1815185486186,3.146043413341389,4,4.224105512799952,6.994997791251482,150,3.922457960293919,4.764847589714473,3,5.410424026192686,5,False.
IA,153,736,554-3984,no,no,0,2.998556301941836,1,6.999199507224157,4.108967811501367,8,2.395675173239126,5.892716553626129,300,1.4960547149006025,4.116922924484997,8,6.422435037634543,2,False.
NV,21,788,597-2357,no,no,0,1.5238821092479893,5,7.349531844746915,5.842437065377849,10,2.17992926190154,3.219282074281699,200,2.142889872805701,3.844713248720916,3,9.48895395838808,0,False.
SC,51,836,205-8558,yes,yes,300,5.4978682013895455,3,6.595096758442858,3.4798562886580795,6,3.3802494904478992,4.866060417949883,150,5.669348335520166,5.151829078936399,6,1.881529359492356,5,True.
CO,113,677,628-6382,yes,yes,100,6.530987045104952,4,1.4260295547304551,1.106556670252841,4,0.8696362818393224,3.0518807764322133,100,2.95325737192428,5.7387165183921285,2,1.950044866186254,4,False.
FL,132,707,530-5946,no,no,0,5.180911353791997,2,6.455358814898666,5.093049312584907,3,4.275861828079856,3.588297522272308,200,4.66990108430207,5.674457500591413,6,4.777868685563954,6,False.
MO,76,777,715-4000,yes,yes,200,2.3947477628176737,5,3.3480983368355,1.7808201004655668,10,1.209721100738972,3.9662633076206113,350,3.2717098949439567,2.680605666244442,5,0.7751307711382047,4,False.
NE,52,786,396-5161,no,yes,500,5.007708132840347,4,6.105618009080516,5.0002799896539205,4,4.960829455065221,3.693522339466962,200,4.875562929481237,3.8214290801789135,4,5.607058134824456,5,False.
UT,169,858,515-4001,no,no,0,9.220308464562848,3,6.057943627669044,7.333550362128413,1,6.038236905017103,3.174587594060396,250,8.156784223335343,4.87647208636537,7,1.8337993676178117,7,True.
ID,196,736,273-2985,yes,yes,300,9.873863335532992,5,6.443172300953114,5.668251965026173,3,6.570675026607818,5.347550680494582,50,5.903606661031674,4.6338825560793175,7,4.590662849078742,4,True.
WV,128,878,512-2737,no,no,0,7.558896298605944,2,7.90113155278802,7.372443447973139,4,5.804401343319595,4.087863907232541,300,5.487880347708486,5.370604752184197,4,5.413437607605927,6,True.
SD,119,836,558-3382,yes,no,0,1.81339128541509,4,2.5755905541355126,3.3627421119581977,2,2.463231286499461,1.0771700499434798,350,2.977960971108768,4.629924125025713,7,1.8726450658969367,6,False.
NH,131,787,151-7629,yes,yes,100,0.2836529714121729,3,1.453182977589167,2.586037889848309,4,2.6907751535754176,5.560068474325618,150,4.439964281555438,6.806913541166335,2,3.045652082916543,6,False.
SC,161,836,456-2347,no,yes,600,1.321681865674139,3,2.812037870843131,1.7257673781602776,2,4.283040080967687,5.27468622513165,200,3.117131087799475,3.742444730026728,5,4.386637330368661,6,False.
WV,170,878,781-6687,no,yes,500,2.6266238350169298,2,2.064535874002017,2.8107680058400684,2,1.6602195724990034,4.099121936825108,200,1.9791053775580043,2.482121289349561,3,5.587335279890878,6,False.
NV,89,788,168-3348,no,yes,200,6.577960044725489,5,6.790011451413006,5.35613865297305,5,4.056130402673251,3.735299417783408,150,6.50603143780609,6.367812702182519,6,0.749320797954117,7,True.
AZ,112,659,711-3017,no,no,0,7.234754972949139,2,6.601624184267969,2.90610421450499,3,6.187516896693938,5.412194298367386,200,4.319870207932539,4.743996992534931,7,4.640291260602998,5,False.
MA,100,776,865-4216,yes,no,0,0.9333799700146236,0,2.30944837011324,1.07172811579602,3,1.7168315865046375,5.304534489561146,100,3.0297002416632863,4.8680367551217145,4,4.441490499912945,4,False.
ME,143,776,454-3944,yes,no,0,10.96167830740269,3,7.393684747647917,7.300368888435164,0,8.817668783653534,3.3335961823612283,150,6.320656565588159,4.731639715222145,5,7.098124329129713,5,True.
PA,82,806,616-8920,no,no,0,2.3868102310008705,6,1.1829624189155568,0.9662097164381658,5,3.5257366464576627,0.874756004479087,300,5.263886826539737,6.553458157765744,5,0.9448026593906532,5,False.
VA,162,866,280-3502,yes,no,0,4.034886371101552,6,1.197537943514308,3.350960773127548,0,4.9708346363160985,5.954435000701926,50,7.139600114867284,4.884715138003465,3,1.6270983141576854,8,True.
AR,5,658,502-7051,no,yes,600,1.0344281733580951,6,1.9549169548538243,5.46659823289157,0,3.1402125876159013,0.0883362985683087,300,4.7669989516506455,6.507098322313282,5,3.43861112343976,7,False.
OH,34,797,925-5242,yes,yes,400,5.882729770656104,4,4.086008268369728,5.719455032784401,0,4.448455998330852,2.9818487958075943,150,6.828370917331631,5.928879785298254,8,0.5285252916830574,8,True.
UT,90,858,142-6201,no,yes,200,15.544954295040734,3,10.482984408704638,8.589559585682023,2,9.75305476777246,3.683911805332098,100,6.42082408681253,5.79077791138018,8,7.680427396321093,2,True.
NJ,146,787,812-9161,yes,yes,500,7.589339295857316,1,8.323044552841083,5.627159976065769,6,4.356393614729712,6.916901190860072,250,4.725080008261214,4.020938686047893,5,5.976579467359072,5,False.
MD,39,776,518-2398,yes,yes,500,2.8686159011235364,2,4.793949146936521,4.330362403573624,3,3.5265162212576944,3.8457629604245303,250,5.17968984860581,4.540302943467269,4,3.635121651114834,7,True.
KY,148,758,857-2512,yes,yes,400,0.2026257633157344,4,0.5431937493145487,0.4111451958098708,2,4.880924982075199,5.22635908137848,200,3.302464399028628,5.010552943111091,4,3.0903538142001103,6,False.
TX,31,848,218-2858,no,no,0,7.875357526893044,3,0.1119261037938477,0.3981591141058551,7,0.6164970921623523,3.29479892681414,350,0.8596120092636799,5.077827203869807,5,2.5916405338449646,3,False.
NC,26,786,970-2585,yes,yes,500,4.172668179784196,5,1.3905258783652754,0.2965055021285234,7,2.195418504579693,4.028369710442127,250,0.8441098984081297,5.56261636347348,4,5.644787778149768,2,False.
ND,53,786,668-7832,no,no,0,4.93187943941086,6,5.890534420531045,6.225610520579634,5,5.770199101105242,3.981538353354908,350,4.203045716247815,5.398768993751817,5,6.126344520202761,5,False.
HI,136,727,317-6301,no,yes,300,3.131165477966806,4,3.638690812643034,0.220177000442697,4,4.928240707014488,3.419854441605791,200,6.098661590642065,4.38951071503052,6,1.766743524153371,7,False.
VT,142,868,924-5172,no,yes,700,1.179775338984023,6,1.809415624698368,7.073949710262997,1,4.321823351354934,2.724467951339192,250,4.127238511966819,5.156323184255919,4,5.838034672521255,8,True.
UT,163,858,649-9584,yes,no,0,2.89517209203338,6,1.6318090275921715,3.562528541384073,0,3.6252694892685935,1.6653325915173585,150,9.265219333660054,5.579796416150592,5,3.795285253436665,12,True.
KS,140,758,654-6821,no,no,0,4.252731277596874,1,4.092043825963957,6.537537653642192,1,5.072577138213758,3.63917432228958,250,5.045483847764787,5.704290151325901,4,6.408801780653635,7,True.
AK,113,657,575-7681,yes,yes,400,0.4504761423145051,3,3.144508429133149,1.0845433888171274,7,3.006018672394952,5.145527608451719,250,3.1877123193087544,5.513545124856568,6,2.5485640456805814,3,False.
MO,176,777,913-2699,no,yes,400,1.639329295774005,3,3.678888958431078,3.0296212421701054,1,3.419607317320714,3.1829204913988565,150,3.701859799002945,4.413037077117529,6,2.728670064271372,7,False.
HI,156,727,823-8687,yes,yes,500,5.784250235698554,2,4.682877052913262,4.935975840742757,1,5.116770770831681,6.329294224763635,200,4.715984207308084,5.573141286588014,5,5.740614994606982,6,False.
VA,50,866,259-2119,no,yes,0,13.950739845915596,2,10.917370025509944,5.4795308357291095,5,7.801085094807027,3.0924033108145097,100,7.530014952201187,4.517298409652258,9,2.844121836047817,3,True.
MO,76,777,587-9074,yes,no,0,6.11174650057688,5,4.939271441257779,7.306367730736851,4,5.325933740402071,6.744272649632958,300,5.403953638347809,5.148564403410508,3,5.503981081964018,6,False.
LA,4,766,597-1144,yes,no,0,3.2831462996954786,4,3.8835360582632656,5.037636800791353,3,3.901263013639489,3.725683494793369,200,6.251206017604825,6.2084592270632895,3,2.772324562435217,7,False.
KY,35,758,256-7829,no,yes,300,4.287592127036311,2,4.466615233816933,3.856761912374071,1,4.760842178518896,3.657358784324745,150,5.867954755455392,4.831109128613154,4,2.923711260005123,7,True.
OH,157,797,602-3569,no,no,0,5.337541992578521,2,3.787138256808687,4.940005353589499,2,5.400125485815158,7.103678884522046,300,4.630216471320608,5.576885201488135,6,3.5525615773937997,7,False.
DC,114,686,709-8537,yes,no,0,8.78517584461796,1,6.22921122147442,5.09874645761168,0,7.550254166159225,5.179815682051422,100,4.446050745011391,4.930180201263415,5,7.704161604998367,4,True.
WY,35,878,191-8994,no,no,0,3.3341853713165746,2,5.527684063815881,5.961584804019899,4,3.245145625189229,4.881220683422731,300,3.5846528274892515,5.398608717818811,6,5.247183420604951,5,False.
MO,140,777,439-3222,no,no,0,0.460401680855159,5,6.133248215147365,8.876583828694406,7,0.857426155395034,1.901054750788036,450,2.831723152790857,6.518222611226536,7,5.193460263183692,4,False.
VT,116,868,381-5519,yes,yes,600,0.5823760107517266,2,2.265831186586161,2.4258563220146043,4,2.657055815527853,5.305667334323289,450,2.476386787099518,4.730187094912257,8,0.7457148493655268,6,False.
OH,11,797,154-3232,yes,yes,100,11.53214825826237,3,9.957222601859236,5.351344171900541,6,6.49164028199484,3.168596379284672,150,7.290989757542206,5.114440935346299,8,1.8311668757608917,4,True.
SD,146,836,328-4034,yes,yes,900,2.541346890167814,4,1.939351518947132,1.7686793225221409,2,6.311482947188408,2.894645602599052,300,4.193614045095943,5.650477314442574,8,0.9959459037464686,9,False.
CT,182,678,431-7913,no,no,0,12.78574633767812,1,8.689383623113509,8.576049241055227,1,7.868322542379381,4.180986993820967,150,5.273285497759616,7.30314055454475,9,7.944898145962936,2,True.
SD,154,836,746-8006,yes,no,0,6.836219910446519,1,6.549105491073135,3.749139768367131,3,7.301967318581197,6.034521369537964,150,4.495940293912527,3.733628631355029,1,7.876109738912429,5,True.
SD,23,836,107-2136,no,yes,500,3.3007494880758474,5,6.623094411298824,7.56060669971836,5,3.0508127921078287,1.9532088713839504,200,4.72269645124609,4.03019680916801,3,8.077704812279912,3,False.
AR,144,658,889-8178,yes,yes,500,7.458814967210207,3,6.583111242548037,4.496101216719632,5,5.490363485651908,4.8145283124200695,300,7.109437099312808,6.869146697336009,5,1.6627445015960205,7,False.
SD,136,836,489-6778,no,yes,0,6.260725763930841,2,9.13931245329825,7.647437995870985,7,3.745627708787532,2.925579541731347,400,5.106493628996995,5.120978070067469,6,2.999468439646224,6,True.
SC,88,836,942-6659,yes,yes,500,7.951603511532077,2,4.958971607793924,8.906558803344145,2,7.120078687402919,2.5129692072541685,250,4.945860008481622,4.727373918945576,8,7.806467244682839,4,True.
VA,112,866,459-2372,yes,yes,100,3.0218767242916886,5,4.029602534127843,5.994995673427155,11,0.4066648635691328,5.746210059049608,350,0.6299383545564297,4.939962555171862,4,6.8468139996358985,1,True.
IN,135,737,656-4815,yes,no,0,6.910600345261397,3,7.489382702790658,5.501047100664679,4,2.703305062072041,1.674197015594106,200,9.775251721631514,4.588478199727165,7,5.831932979304085,11,True.
CA,15,676,539-8093,no,yes,200,5.10281484360286,3,7.418809921266734,6.398710074268866,8,2.5933478534939707,4.898032274994549,300,5.1473559339589565,6.215740988252016,7,1.7578323693619753,6,False.
IL,148,737,793-9245,yes,yes,600,0.0711304901080387,3,1.4955621124278315,1.0967629002177062,3,4.020574349579396,6.7427343795196695,300,2.0866985407074017,4.719244381005421,6,3.1518626004510724,6,False.
AZ,142,659,877-6831,no,yes,300,3.9363816828516343,2,3.342628774753337,5.840616373015764,0,4.632138695425004,3.151950577100337,250,6.653710581194151,5.153919365023776,4,2.6870356060787226,9,True.
AK,142,657,950-1505,yes,yes,500,0.1407422905059734,5,4.4389638042612285,4.844048966165813,9,2.58862360295233,7.004962920091584,300,0.272767909883421,5.252627977244072,6,8.272273259364184,2,False.
AL,31,657,880-9071,no,yes,500,8.312486106894674,2,4.459681012309337,5.9830561526136,1,7.955292928766929,4.168682870639681,150,5.821382874514324,3.383933897665246,5,7.498775563397533,4,True.
